編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWPMLQKQHGGFAU87CC,明義段,90.00,都市：商,,,,05900000
RPWPMLQKQHGGFAU87CC,明義段,17.00,都市：商,,,,05920000
RPSNMLLKQHGGFAU76CC,自強段,5.62,都市：住,,,,00140000
RPXRMLSKQHGGFAU38CC,嘉南段,.00,都市：商,,,,03910002
RPXNMLMKQHGGFAU37CC,仁義段,32.50,都市：住,,,,01720001
RPRNMLRKQHGGFAU27CC,富國段,.00,都市：商,,,,04630003
RPXQMLSKQHGGFAU28CC,宜安段,22.73,都市：住,,,,05940000
RPVOMLSKQHGGFAU87CC,慶豐段,.00,都市：住,,,,08720007
RPTQMLSKQHGGFAU87CC,東昌段,317.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04370000
RPWQMLRKQHGGFAU08CC,莊敬段,6.77,都市：住,,,,04260000
RPSTMLSKQHGGFAU08CC,慶豐段,68.00,都市：住,,,,13700000
RPSTMLSKQHGGFAU08CC,慶豐段,40.00,都市：其他:道路,,,,13700001
RPUNMLTKQHGGFAU77CC,民生段,11.60,都市：商,,,,06110004
RPXNMLKLQHGGFAU27CC,太昌段,53.00,都市：農,,,,03660000
RPPOMLPLQHGGFAU07CC,四維段,60.83,都市：農,,,,04510001
RPUNMLNLQHGGFAU27CC,主權段,16.77,都市：商,,,,06720000
RPSNMLKMQHGGFAU86CC,富國段,17.02,都市：住,,,,01570000
RPUOMLNJRHGGFAU27CC,嘉南段,.00,都市：商,,,,03910005
RPUOMLQLQHGGFAU67CC,民德段,22.32,都市：住,,,,04830000
RPROMLKMQHGGFAU86CC,慶豐段,102.00,都市：住,,,,10190005
RPSNMLRLQHGGFAU47CC,國股段,27.31,都市：住,,,,05320000
RPRPMLQLQHGGFAU47CC,自強段,35.47,都市：住,,,,05740090
RPTQMLLMQHGGFAU37CC,裕民段,93.00,都市：住,,,,00920005
RPROMLLJRHGGFAU76CC,嘉南段,.00,都市：商,,,,03910001
RPUNMLLJRHGGFAU96CC,嘉南段,.00,都市：商,,,,03910011
RPQOMLQLQHGGFAU27CC,自強段,7.55,都市：住,,,,02090000
RPUNMLLJRHGGFAU96CC,嘉南段,.00,都市：商,,,,03910013
RPRPMLNJRHGGFAU07CC,富國段,7.99,都市：住,,,,00610001
RPVOMLNJRHGGFAU37CC,自強段,4.97,都市：住,,,,00140000
RPRNMLQJRHGGFAU17CC,裕民段,6.34,都市：商,,,,01880000
RPOPMLNJRHGGFAU76CC,林森段,15.76,都市：商,,,,07000004
RPUNMLKKRHGGFAU96CC,北濱段,11.75,都市：商,,,,11950000
RPXNMLSJRHGGFAU97CC,克來寶段,294.09,都市：住,,,,01950000
RPUNMLKKRHGGFAU96CC,北濱段,3.75,都市：其他:道路用地,,,,11950001
RPXNMLSJRHGGFAU97CC,克來寶段,446.85,都市：住,,,,01970000
RPUNMLKKRHGGFAU96CC,北濱段,14.00,都市：商,,,,11960000
RPXNMLSJRHGGFAU97CC,克來寶段,222.69,都市：住,,,,01980000
RPPOMLSJRHGGFAU27CC,自強段,34.78,都市：住,,,,01940000
RPPNMLQJRHGGFBU07CC,太巴塱段,98.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04160000
RPPOMLPKRHGGFAU07CC,嘉南段,.00,都市：商,,,,03910014
RPPNMLRKRHGGFAU17CC,裕民段,28.00,都市：其他:倉儲區,,,,00240015
RPUNMLOKRHGGFAU37CC,林森段,26.30,都市：住,,,,02040004
RPPOMLPKRHGGFAU07CC,嘉南段,.00,都市：商,,,,03910018
RPUOMLKKRHGGFAU07CC,嘉平段,82.00,都市：住,,,,09220000
RPROMLPKRHGGFAU27CC,嘉南段,.00,都市：商,,,,03910014
RPQOMLLKRHGGFAU76CC,光華段二小段,147.62,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00690004
RPXNMLOKRHGGFAU67CC,功學段,.00,都市：住,,,,03600000
RPROMLPKRHGGFAU27CC,嘉南段,.00,都市：商,,,,03910018
RPWOMLPKRHGGFAU77CC,民德段,25.60,都市：住,,,,00440002
RPUOMLPKRHGGFAU57CC,莊敬段,90.00,都市：住,,,,00890000
RPTOMLPKRHGGFAU47CC,德安段,21.50,都市：商,,,,09710000
RPRNMLRLRHGGFAU47CC,國光段,74.25,都市：住,,,,00290003
RPRNMLTLRHGGFAU67CC,民生段,.00,都市：商,,,,10210001
RPUQMLNLRHGGFAU67CC,嘉南段,.00,都市：商,,,,03910019
RPRNMLTLRHGGFAU67CC,民生段,.00,都市：商,,,,10210019
RPTNMLOLRHGGFAU37CC,富國段,19.07,都市：住,,,,01380000
RPUNMLRLRHGGFAU77CC,裕民段,.00,都市：商,,,,04990000
RPUNMLRLRHGGFAU77CC,裕民段,.00,都市：商,,,,04990001
RPVNMLRLRHGGFAU87CC,裕民段,.00,都市：商,,,,04990000
RPVPMLOJIIGGFAU76CC,莊敬段,86.00,都市：住,,,,01130000
RPTPMLOJIIGGFAU56CC,太昌段,85.25,都市：住,,,,20340001
RPRNMLLJIIGGFAU48CC,嘉南段,.00,都市：商,,,,03910002
RPVNMLRLRHGGFAU87CC,裕民段,.00,都市：商,,,,04990001
RPSOMLRLRHGGFAU67CC,慶豐段,76.00,都市：農,,,,06990005
RPQOMLPJIIGGFAU88CC,嘉南段,.00,都市：商,,,,03910022
RPRNMLPJIIGGFAU98DC,林森段,67.00,都市：住,,,,31290000
RPRNMLQJIIGGFAU98CC,德安段,6.02,都市：住,,,,20210000
RPUOMLRJIIGGFAU86CC,樹人段,120.00,都市：商,,,,06580015
RPQNMLOKIIGGFAU78CC,明義段,96.00,都市：商,,,,04960000
RPSNMLOKIIGGFAU98CC,德安段,13.73,都市：住,,,,19020000
RPSOMLPJIIGGFAU09CC,嘉南段,.00,都市：商,,,,03910022
RPXOMLSJIIGGFAU27CC,北濱段,6.79,都市：住,,,,13550000
RPTNMLSJIIGGFAU76CC,北濱段,17.20,都市：商,,,,10000000
RPTNMLSJIIGGFAU76CC,北濱段,.40,都市：商,,,,10000001
RPUNMLSJIIGGFAU86CC,莊敬段,16.53,都市：住,,,,04890006
RPXOMLOKIIGGFAU96CC,康樂段,54.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02870000
RPWOMLSJIIGGFAU17CC,宜安段,24.03,都市：住,,,,00470000
RPROMLPLIIGGFAU56CC,富國段,3.17,都市：商,,,,03090000
RPVPMLSKIIGGFAU37DC,富國段,155.00,都市：住,,,,01620001
RPOOMLQLIIGGFAU98CC,富國段,12.13,都市：商,,,,01140000
RPUPMLPLIIGGFAU96CC,嘉北段,.00,都市：住,,,,11090000
RPOPMLRLIIGGFAU56CC,嘉南段,.00,都市：商,,,,03910006
RPSPMLRLIIGGFAU96CC,慈濟段,380.31,都市：農,,,,02950000
RPPPMLRLIIGGFAU66CC,克來寶段,517.65,都市：住,,,,01860000
RPPPMLRLIIGGFAU66CC,克來寶段,140.73,都市：住,,,,01870000
RPROMLRLIIGGFAU76CC,莊敬段,16.56,都市：住,,,,02580000
RPXOMLSLIIGGFAU57DC,富國段,14.69,都市：商,,,,02250000
RPSNMLTLIIGGFAU96CC,林森段,19.64,都市：住,,,,01610000
RPQPMLTLIIGGFAU96CC,仁義段,23.21,都市：住,,,,05210000
RPPPMLSLIIGGFAU86DC,宜寧段,88.00,都市：住,,,,01570000
RPUOMLSJJIGGFAU07CC,民心段,165.29,都市：工,,,,00640000
RPTOMLNJJIGGFAU09CC,嘉南段,.00,都市：商,,,,03910001
RPRPMLTLIIGGFAU07CC,莊敬段,14.07,都市：住,,,,01310000
RPWNMLMJJIGGFAU56CC,光華段二小段,96.57,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00800007
RPRNMLOJJIGGFAU88CC,明義段,5.00,都市：住,,,,00640000
RPRNMLOJJIGGFAU88CC,明義段,31.00,都市：住,,,,00640001
